titre_publication,date_publication,lien_publication,id_organisme_publication,nom_officiel_organisme,soustitre_publication,collection_publication,id_publication
"Quelles entreprises recourent à l’alternance, et pour quelles raisons ?",2024-12-20,https://dares.travail-emploi.gouv.fr/publication/quelles-entreprises-recourent-lalternance-et-pour-quelles-raisons,dares,Dares,"En 2021, dans le secteur privé, 17 % des employeurs recrutent au moins un alternant. Ce recours est plus fort dans les grandes entreprises que dans les petites et varie sensiblement selon le secteur d’activité.",Dares Analyses N°77,dares_40
"Emploi, chômage, revenus du travail : fiches thématiques",2024-12-19,https://dares.travail-emploi.gouv.fr/publication/emploi-chomage-revenus-du-travail-fiches-thematiques,dares,Dares,"Emploi, chômage et demandeurs d'emploi, conditions de travail, revenus et coût du travail : retrouvez les fiches thématiques réalisées par la Dares et l'Insee dans le cadre du dernier Insee Références ""Emploi, chômage, revenus du travail"".",Autres publications,dares_39
Quelles transitions professionnelles les demandeurs d'emploi effectuent-ils après une formation ?,2024-12-18,https://dares.travail-emploi.gouv.fr/publication/quelles-transitions-professionnelles-les-demandeurs-demploi-effectuent,dares,Dares,La formation professionnelle contribue-t-elle à la résorption des déséquilibres structurels du marché du travail ?,Valorisation de la recherche N°10,dares_38
Comprendre le recours aux contrats courts dans l’hôtellerie-restauration. Une approche par les configurations organisationnelles,2024-12-17,https://dares.travail-emploi.gouv.fr/publication/comprendre-le-recours-aux-contrats-courts-dans-lhotellerie-restauration,dares,Dares,Le secteur de l’hôtellerie-restauration est souvent pointé du doigt en raison de l’intensité de son recours aux contrats courts sans que soient pour autant détaillées les pratiques de recrutement correspondantes. Cet article s’intéresse aux usages que les dirigeants font des contrats courts en fonction du type d’établissements dont il propose une typologie.,Revue Travail et Emploi,dares_37
"Précarité, sur-emploi ou discontinuité ? Trajectoires et vécus des contrats courts pour les salarié·es de 50 ans et plus",2024-12-17,https://dares.travail-emploi.gouv.fr/publication/precarite-sur-emploi-ou-discontinuite-trajectoires-et-vecus-des-contrats-courts,dares,Dares,"Qui sont les seniors en contrats courts ? Combinant analyse quantitative et qualitative, l’article étudie leurs principales caractéristiques sociodémographiques, dégage trois types de trajectoires et s’intéresse à leurs vécus de ces contrats.",Revue Travail et Emploi,dares_36
La montée des embauches en CDD court en France depuis 2000. Un réexamen sectoriel,2024-12-17,https://dares.travail-emploi.gouv.fr/publication/la-montee-des-embauches-en-cdd-court-en-france-depuis-2000-un-reexamen-sectoriel,dares,Dares,"L’augmentation des CDD de moins d’un mois s’explique moins par les ajustements réglementaires, notamment en matière d’assurance chômage, que par l’évolution de l’emploi dans certains secteurs : elle est ainsi particulièrement forte dans ceux où l’emploi est en expansion.",Revue Travail et Emploi,dares_35
Contrats à durée limitée et indemnisation du chômage. Une diversité de trajectoires,2024-12-17,https://dares.travail-emploi.gouv.fr/publication/contrats-duree-limitee-et-indemnisation-du-chomage-une-diversite-de-trajectoires,dares,Dares,Dans quelle mesure les travailleurs en contrat à durée limitée (CDL) courts mobilisent-ils l’assurance chômage ? Une analyse des trajectoires professionnelles des salariés en CDL.,Revue Travail et Emploi,dares_34
Introduction. Des contrats de plus en plus courts ? Mesurer et comprendre la diversité des usages des contrats courts par les employeurs et les salariés,2024-12-17,https://dares.travail-emploi.gouv.fr/publication/introduction-des-contrats-de-plus-en-plus-courts,dares,Dares,"Quelles conditions et raisons de l’émergence du concept de « contrat court » dans le débat public ? Quels usages par les employeurs, et quelles conséquences pour les salariés ?",Revue Travail et Emploi,dares_33
Revue Travail et Emploi - Des contrats de plus en plus courts ? - N° 173-174-175 (2024),2024-12-17,https://dares.travail-emploi.gouv.fr/publication/revue-travail-et-emploi-des-contrats-de-plus-en-plus-courts-173-174-175,dares,Dares,Ce numéro de la revue Travail et Emploi documente la diversité des usages des contrats courts par les employeurs et les salariés en France.,Revue Travail et Emploi N°173-174-175,dares_32
Insertion professionnelle des apprentis de niveau CAP à BTS six mois après leur sortie d’études en 2023,2024-12-17,https://dares.travail-emploi.gouv.fr/publication/insertion-professionnelle-des-apprentis-2023,dares,Dares,"Parmi les apprentis inscrits en dernière année d’une formation de niveau CAP à BTS en 2022-2023, 38 % sont encore en études l’année scolaire suivante, pour l’essentiel à nouveau dans le cadre d’une formation en apprentissage.",Dares Résultats N°76,dares_31
Évolution des salaires de base dans le secteur privé : résultats définitifs du 3e trimestre 2024,2024-12-13,https://dares.travail-emploi.gouv.fr/publication/evolution-des-salaires-de-base-dans-le-secteur-prive-resultats-definitifs-T3-2024,dares,Dares,"L’indice du salaire mensuel de base (SMB) de l’ensemble des salariés progresse de 0,3 % au cours du 3e trimestre 2024. Sur un an, il augmente de 2,7 % après +2,9 % le trimestre précédent.",Dares Indicateurs N°75,dares_30
Le dispositif des écoles de la deuxième chance : évaluation et analyses d’actions pédagogiques novatrices en faveur des jeunes sans qualification,2024-12-12,https://dares.travail-emploi.gouv.fr/publication/les-ecoles-de-la-deuxieme-chance-e2c,dares,Dares,"Cette étude du laboratoire d’Économie et de Sociologie du Travail de l’Université Aix-Marseille éclaire les dynamiques qui façonnent les parcours réussis de stagiaires E2C, et souligne l’importance de pratiques pédagogiques adaptées.",Valorisation de la recherche N°9,dares_29
Quelle organisation du temps de travail pour les salariés à temps partiel ?,2024-12-11,https://dares.travail-emploi.gouv.fr/publication/quelle-organisation-du-temps-de-travail-pour-les-salaries-temps-partiel,dares,Dares,"En 2023, 17,4 % des salariés occupent un emploi à temps partiel. Les jeunes et les seniors sont plus souvent à temps partiel que les salariés d’âge intermédiaire.",Dares Analyses N°74,dares_28
Un professionnalisme organisationnel dominant chez les travailleuses sociales et les conseillères à l’emploi,2024-12-10,https://dares.travail-emploi.gouv.fr/publication/un-professionnalisme-organisationnel-dominant-chez-les-travailleuses-sociales,dares,Dares,Comment les outils de gestion déployés dans les services publics de l'emploi dans le cadre de leur dématérialisation ont-ils contribué à fragmenter les pratiques professionnelles des conseillères et des travailleuses sociales ?,Revue Travail et Emploi,dares_27
"L’enjeu du travail, une condition de la redynamisation syndicale ? La CGT dans un hôpital psychiatrique public face au défi de son renouvellement",2024-12-10,https://dares.travail-emploi.gouv.fr/publication/lenjeu-du-travail-une-condition-de-la-redynamisation-syndicale-la-cgt-dans-un-hopital,dares,Dares,"Dans un contexte de restructuration permanente d'un hôpital public, comment assurer la pérennité de l'action syndicale et le renouvellement des militants ?",Revue Travail et Emploi,dares_26
Compétences des adultes en 2023 : quelle maîtrise de la recherche et de l’utilisation des informations à l’ère du numérique ?,2024-12-10,https://dares.travail-emploi.gouv.fr/publication/competences-des-adultes-en-2023,dares,Dares,"Selon l’enquête Piaac, en France hors Drom, en 2023, plus d’un adulte sur quatre témoigne d’une faible maîtrise des compétences, que ce soit en littératie, numératie ou résolution adaptative de problèmes sur des supports informatiques.",Dares Analyses N°73,dares_25
L'apprentissage en 2023,2024-12-04,https://dares.travail-emploi.gouv.fr/publication/lapprentissage-en-2023,dares,Dares,"849 600 contrats d’apprentissage débutent en 2023, soit une augmentation de 2 % seulement sur un an, en net ralentissement par rapport aux fortes hausses constatées depuis 2019.",Dares Résultats N°72,dares_24
"L'emploi intérimaire de nouveau en baisse au 3e trimestre 2024 (-0,9 %)",2024-11-29,https://dares.travail-emploi.gouv.fr/publication/lemploi-interimaire-de-nouveau-en-baisse-au-3e-trimestre-2024,dares,Dares,"L’emploi intérimaire poursuit sa baisse au 3e trimestre 2024 (−0,9 %, soit −6 300 intérimaires), après un recul plus marqué au trimestre précédent (−2,3 %, soit −17 500 intérimaires au 2e trimestre 2024). Il s’agit du septième trimestre consécutif de baisse.",Dares Indicateurs N°71,dares_23
La formation professionnelle des personnes en recherche d’emploi de 2019 à 2022,2024-11-28,https://dares.travail-emploi.gouv.fr/publication/la-formation-professionnelle-des-personnes-en-recherche-demploi-de-2019-2022,dares,Dares,"Le nombre d’entrées en formation des personnes en recherche d’emploi, indemnisées par l’assurance chômage, rémunérées ou bénéficiant d’une protection sociale au titre de leur formation, est en nette augmentation entre 2019 et 2022, passant de 889 200 à 1 267 300 entrées sur la période.",Dares Résultats N°70,dares_22
Les expositions à des conditions de travail pénibles sont-elles compensées monétairement ?,2024-11-27,https://dares.travail-emploi.gouv.fr/publication/les-expositions-des-conditions-de-travail-penibles-sont-elles-compensees-monetairement,dares,Dares,La crise sanitaire a mis en lumière les problèmes de pénibilité des métiers des « premières et deuxièmes lignes ». Un problème d’attractivité est apparu pour plusieurs métiers et secteurs d’activités.,Document d'études N°278,dares_21
Les travailleurs de plateforme : quels profils et quelles conditions de travail ?,2024-11-21,https://dares.travail-emploi.gouv.fr/publication/les-travailleurs-de-plateforme-quels-profils-et-quelles-conditions-de-travail,dares,Dares,"En 2023, 2 % des personnes en emploi sont des indépendants qui accèdent à leur clientèle via une ou plusieurs plateformes numériques.",Dares Analyses N°69,dares_20
La situation sur le marché du travail au 3e trimestre 2024,2024-11-21,https://dares.travail-emploi.gouv.fr/publication/la-situation-sur-le-marche-du-travail-au-3e-trimestre-2024,dares,Dares,"Emploi, chômage, difficultés de recrutement, salaires… Retrouvez les chiffres clés sur le marché du travail au 3e trimestre 2024.",Autres publications,dares_19
La revalorisation du Smic au 1er janvier 2024,2024-11-14,https://dares.travail-emploi.gouv.fr/publication/la-revalorisation-du-smic-au-1er-janvier-2024,dares,Dares,"Au 1er janvier 2024, le Smic brut horaire augmente de 1,1 %, à 11,65 euros. Compte tenu de la revalorisation intervenue en mai 2023, il croît de 3,4 % sur un an.",Dares Résultats N°68,dares_18
