titre_publication,date_publication,lien_publication,id_organisme_publication,nom_officiel_organisme,soustitre_publication,collection_publication,id_publication
"L’espérance de vie sans incapacité a 65 ans est de 12 ans pour les femmes et de 10,5 ans pour les hommes en 2023",2024-12-31,https://drees.solidarites-sante.gouv.fr/recherche?f%5B0%5D=content_type%3A1&f%5B1%5D=content_type%3A2&f%5B2%5D=content_type%3A4&f%5B3%5D=content_type%3A506/publications-communique-de-presse/etudes-et-resultats/241231_ER_esperance-de-vie-sans-incapacite-65,drees,Drees,"En France, l’espérance de vie s’allonge régulièrement. Ces années supplémentaires de vie ne sont cependant pas toutes nécessairement vécues « en bonne santé ». Aussi, la DREES publie chaque année un autre indicateur, l’espérance de vie sans incapacité, qui correspond au nombre d’années qu’une personne peut espérer vivre sans être limitée par un problème de santé...","Publications | Études et résultats
                                  | N°1323",drees_21
"L’espérance de vie sans incapacité a 65 ans est de 12 ans pour les femmes et de 10,5 ans pour les hommes en 2023",2024-12-31,https://drees.solidarites-sante.gouv.fr/recherche?f%5B0%5D=content_type%3A1&f%5B1%5D=content_type%3A2&f%5B2%5D=content_type%3A4&f%5B3%5D=content_type%3A506/publications-communique-de-presse/etudes-et-resultats/241231_ER_esperance-de-vie-sans-incapacite-65,drees,Drees,"En France, l’espérance de vie s’allonge régulièrement. Ces années supplémentaires de vie ne sont cependant pas toutes nécessairement vécues « en bonne santé ». Aussi, la DREES publie chaque année un autre indicateur, l’espérance de vie sans incapacité, qui correspond au nombre d’années qu’une personne peut espérer vivre sans être limitée par un problème de santé...","Publications | Études et résultats
                                  | N°1323",drees_11
"L’aide sociale des départements en 2023 : aide sociale à l’enfance, aides aux personnes âgées ou handicapées, PMI et insertion",2024-12-27,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/jeux-de-donnees/241227_DATA_aide-sociale-des-departements-en-2023,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) met à disposition des statistiques sur l’aide sociale des départements en 2023 et en séries longues. Ces résultats, départementaux et nationaux, portent sur les aides sociales accordées aux personnes âgées ou handicapées et les mesures d’aide sociale à l’enfance (ASE).",Communiqué de presse | Jeux de données,drees_19
Les dépenses de protection sociale accélèrent en 2023 en France,2024-12-23,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/jeux-de-donnees/241223_DATA_les-depenses-de-protection-sociale,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) publie les comptes de la protection sociale de la France pour l’année 2023. Ce jeu de données présente les dépenses et les ressources des régimes de la protection sociale. En 2023, les dépenses de protection sociale représentent 31,5 % du produit intérieur brut (PIB) en France.",Communiqué de presse | Jeux de données,drees_18
"Revenu des médecins libéraux : une légère hausse entre 2017 et 2021, avec de fortes disparités selon la spécialité et l’ancienneté dans l’installation",2024-12-20,https://www.drees.solidarites-sante.gouv.fr/publications-communique-de-presse/etudes-et-resultats/241220_ER_revenu-des-medecins-liberaux,drees,Drees,"La DREES publie une étude sur le revenu des médecins libéraux en 2021, en France. Les médecins, âgés de 70 ans ou moins, exerçant une activité libérale ou libérale et salariée, ont déclaré, en moyenne, un revenu d’activité annuel de 124 000 euros, soit un peu plus de 10 000 euros par mois.","Publications | Études et résultats
                                  | N°1322",drees_17
"Accessibilité aux soins de premier recours en 2023 : dégradation de l’accessibilité aux médecins généralistes et aux infirmières, amélioration de l’accessibilité aux kinésithérapeutes, aux sages-femmes et aux chirurgiens-dentistes",2024-12-20,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/jeux-de-donnees/241220_DATA_accessibilite-aux-soins,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) met à disposition les données actualisées de l’indicateur d’accessibilité potentielle localisée (APL) en 2022 et 2023 pour les médecins généralistes, les infirmières , les sages-femmes, les kinésithérapeutes et les chirurgiens-dentistes.",Communiqué de presse | Jeux de données,drees_16
"Les élèves et étudiants inscrits en formations aux professions sociales en 2022 : profil, parcours scolaire, motivations et impact de la crise sanitaire liée au Covid-19",2024-12-20,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/jeux-de-donnees/241220_DATA_les-eleves-et-etudiants-inscrits-en-formations,drees,Drees,"La DREES met à disposition les données sur l’ensemble des élèves et étudiants inscrits en formation aux professions sociales en 2022. Ces statistiques sont issues de la première collecte de l’enquête quinquennale sur les élèves et les étudiants en formation aux professions sanitaires et sociales, enquête statistique de la DREES.",Communiqué de presse | Jeux de données,drees_15
Les revenus libéraux et salariés des médecins ayant une activité libérale en France en 2021,2024-12-20,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/jeux-de-donnees/les-revenus-liberaux-et-salaries-des-medecins,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) met à jour des données en open data. Ces données sont issues d’un appariement des données relatives à l’activité libérale des médecins issues de la Caisse nationale de l’Assurance maladie (CNAM) et des données issues des déclarations de revenus recueillies par la Direction générale des finances publiques (DGFiP).",Communiqué de presse | Jeux de données,drees_14
Liste des maternités de France au 31 décembre 2023,2024-12-19,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/241219_Data_liste-des-maternites-de-france,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) publie, en open data, une mise à jour de la liste des maternités de France. Par rapport à la précédente version, diffusée en open data en décembre 2023, le fichier est enrichi avec les données au 31 décembre 2023.",Communiqué de presse | Jeux de données,drees_13
"Nombre de lits de soins critiques des établissements de santé en France, par département au 31 décembre 2023",2024-12-19,https://www.drees.solidarites-sante.gouv.fr/communique-de-presse-jeux-de-donnees/241219_Data_nombre-de-lits,drees,Drees,"La Direction de la recherche, des études, de l’évaluation et des statistiques (DREES) publie, en open data, une mise à jour des données sur les lits de soins critiques (réanimation, soins intensifs et surveillance continue) en France. Par rapport à la précédente version, diffusée en open data en décembre 2023, le fichier est actualisé avec les données au 31 décembre 2023.",Communiqué de presse | Jeux de données,drees_12
