titre_publication,date_publication,lien_publication,id_organisme_publication,nom_officiel_organisme,soustitre_publication,collection_publication,id_publication
"Vivre vieux, vivre mieux : que dit l’espérance de vie sans incapacité ?",2024-12-31,https://blog.insee.fr/que-dit-l-esperance-de-vie-sans-incapacite/,insee_blog,Blog de l'Insee,"L’espérance de vie sans incapacité (EVSI) s’est imposée comme un indicateur de référence dans le débat public, pour évaluer le nombre d’années qu’une personne peut compter vivre sans souffrir d’incapacité dans les activités du quotidien. Son calcul s’appuie sur la…",,insee_blog_113
Combien gagne un agriculteur ?,2024-12-12,https://blog.insee.fr/combien-gagne-un-agriculteur/,insee_blog,Blog de l'Insee,"La question des revenus des agriculteurs est au cœur des discussions actuelles sur l’agriculture. Plusieurs réponses peuvent être apportées pour éclaircir cette question, selon l’angle auquel on s’intéresse. Si c’est celui de la capacité de l’agriculture, en tant qu’activité économique, à…",,insee_blog_112
Comment mesurer l’« inestimable » production de l’Insee ?,2024-12-02,https://blog.insee.fr/comment-mesurer-l-inestimable-production-de-l-insee/,insee_blog,Blog de l'Insee,"Introduction de Jean-Luc Tavernier, directeur général de l’Insee Depuis le début du siècle, les effectifs de l’Insee ont fortement et continûment diminué (d’environ un quart depuis 2006 à périmètre d’activité constant) comme le budget qui lui est alloué (de près…",,insee_blog_111
Pensez-vous avoir été victime de discrimination ? Ce que vous en dites dans les enquêtes de la statistique publique,2024-11-21,https://blog.insee.fr/statistiques-publiques-sur-les-discriminations/,insee_blog,Blog de l'Insee,"Dans les enquêtes de la statistique publique, les questions posées aux personnes sur les discriminations font en général appel à une forme de subjectivité : plutôt que de leur demander directement si elles ont été victimes de discrimination, on les interroge…",,insee_blog_110
"Croissance, soutenabilité climatique, redistribution : qu’apprend-on des « comptes augmentés » ?",2024-11-05,https://blog.insee.fr/qu-apprend-on-des-comptes-augmentes/,insee_blog,Blog de l'Insee,"L’Insee publie ce jour les premiers comptes nationaux augmentés. Cette innovation vise à appréhender d’un même tenant l’activité économique, ses conséquences pour le dérèglement climatique, et la répartition des revenus des ménages. La démarche est double. D’abord, il s’agit de…",,insee_blog_109
Qui a confiance dans les chiffres de l’Insee ?,2024-10-22,https://blog.insee.fr/qui-a-confiance-dans-les-chiffres-de-l-insee/,insee_blog,Blog de l'Insee,"L’Insee conduit régulièrement des baromètres auprès de différents publics, afin de mesurer sa notoriété et son image d’une part, la satisfaction des utilisateurs de ses données d’autre part. Pour plus de 8 répondants sur 10 en 2023, l’institut inspire confiance…",,insee_blog_108
Peut-on mesurer le ressenti des phénomènes économiques et sociaux ?,2024-10-07,https://blog.insee.fr/peut-on-mesurer-le-ressenti-eco-et-socio/,insee_blog,Blog de l'Insee,Il est beaucoup reproché aux statisticiens de se focaliser sur des agrégats comptables ou des indicateurs désincarnés et de ne pas rendre compte de la vraie vie des gens et de leur perception. S’il est vrai que le PIB ou l’indice des prix à la consommation…,,insee_blog_107
La fin des voitures thermiques : une perte de pouvoir d’achat pour les ménages ?,2024-09-20,https://blog.insee.fr/fin-des-voitures-thermiques-perte-pouvoir-d-achat/,insee_blog,Blog de l'Insee,La transition énergétique pour atteindre la neutralité carbone d’ici 2050 se traduit souvent par une hausse des coûts pour les entreprises ou pour les ménages. Est-ce que les indicateurs de prix de l’Insee permettent de bien rendre compte de cette hausse ?,,insee_blog_106
"Impacts économiques et sociaux des Jeux Olympiques et Paralympiques : à vos stats, prêts, partez !",2024-07-24,https://blog.insee.fr/impacts-economiques-et-sociaux-des-jo-et-jop/,insee_blog,Blog de l'Insee,"L’Insee et le service statistique ministériel en charge de la jeunesse et des sports se mobilisent pour évaluer les impacts sportifs, économiques, sociaux et environnementaux des Jeux Olympiques…",,insee_blog_105
À la recherche des gains de productivité perdus depuis la crise sanitaire,2024-07-19,https://blog.insee.fr/la-productivite-du-travail-fr-depuis-la-crise-sanitaire/,insee_blog,Blog de l'Insee,"La productivité apparente du travail en France, mesurée ici comme le rapport du PIB à l’emploi exprimé en personnes physiques, a reculé de 3,5 % entre 2019 et 2023 alors qu’elle progressait de +0,5 à +0,6 % en moyenne par an entre 2011…",,insee_blog_104
